ID,ShopliftingPrev,ShopliftingFreq,SeriousTheftPrev,SeriousTheftFreq,CrimDamagePrev,CrimDamageFreq,ViolentCrimePrev,ViolentCrimeFreq,TotalCrimePrev,TotalCrimeFreq,PoorSelfControl,PeerCrime,MoralEmotions,Deterrence,NeighInforSocControl,AlcoholPrev,AlcoholFreq,ArrestedPrev,ArrestedFreq,Sex,Ethnicity,NeighbourhoodSD,FamilySD
1,1,1,1,1,1,3,1,4,1,10,18,11,-3.386347555,-4.177735397,4,1,15,1,1,0,1,0.629785465,0.427416431
2,0,0,0,0,0,0,0,0,0,0,9,2,2.534098081,2.945850246,14,1,2,0,0,1,1,0.325757413,0.3157426
3,0,0,0,0,1,20,1,1,1,21,16,4,0.227774029,-0.379083064,9,1,35,0,0,0,1,-0.681188513,-1.597036236
4,1,1,0,0,0,0,0,0,1,1,12,11,-0.770752493,-0.745536192,12,1,25,0,0,0,1,-0.523369414,-1.373688575
5,0,0,1,1,0,0,0,0,1,1,6,14,-2.078550024,-2.935354818,11,0,0,0,0,0,3,-0.989445881,1.621748065
6,1,1,0,0,1,7,1,4,1,16,15,17,-3.077076545,-1.621463642,12,1,52,0,0,1,2,-0.863733771,0.359797107
7,0,0,0,0,1,4,0,0,1,4,18,8,-1.733922268,-1.657218941,6,1,5,0,0,1,1,0.658655685,-0.926993013
8,0,0,0,0,1,1,0,0,1,1,9,9,-4.075603067,-2.023672069,6,0,0,1,1,0,1,0.018172352,1.014974217
9,0,0,0,0,1,1,0,0,1,1,10,5,1.261657297,0.863297515,10,1,12,0,0,0,1,0.251287191,0.650764092
10,0,0,0,0,0,0,0,0,0,0,10,6,1.570928307,1.703469667,9,1,10,0,0,0,1,-1.349112641,0.364146578
11,1,3,1,1,1,6,1,2,1,11,17,10,-3.006363052,-0.307572467,8,1,70,0,0,0,1,-1.601418599,-2.407942162
12,0,0,0,0,0,0,0,0,0,0,9,1,2.534098081,-0.379083064,14,1,3,0,0,0,2,-0.260613549,1.126648525
13,0,0,0,0,0,0,0,0,0,0,7,2,1.880199316,1.30126124,15,0,0,0,0,0,1,-0.829481279,-0.067683109
14,0,0,0,0,1,4,0,0,1,5,11,18,-3.660261817,-0.343327765,9,1,40,0,0,1,1,-0.352708384,0.204068769
15,1,18,0,0,1,15,1,4,1,37,16,11,-2.149263518,0.058880662,14,1,104,1,1,1,1,-1.849159222,0.043990722
16,0,0,0,0,0,0,1,2,1,2,9,7,1.22630055,0.058880662,10,1,30,0,0,1,1,-1.252869072,-1.053532719
17,0,0,0,0,0,0,0,0,0,0,7,3,0.881672794,-1.219255215,8,1,3,0,0,1,1,-0.561118961,-0.655241373
18,0,0,1,2,0,0,1,2,1,2,18,4,0.952386288,-2.971110116,12,0,0,0,0,1,3,0.903284634,0.427416431
19,0,0,0,0,0,0,0,0,0,0,3,6,2.534098081,2.945850246,13,1,12,0,0,1,4,2.22880243,0.155664552
20,0,0,0,0,0,0,0,0,0,0,10,1,-0.08149698,2.105678094,10,1,4,0,0,1,1,1.880735493,0.650764092
21,1,10,0,0,1,5,0,0,1,20,12,14,-3.386347555,-2.023672069,6,1,20,1,2,0,1,0.325757413,0.650764092
22,0,0,0,0,0,0,0,0,0,0,17,6,-1.769279015,-0.709780894,12,1,2,0,0,0,1,-0.310497707,0.427416431
23,0,0,0,0,0,0,0,0,0,0,9,5,2.534098081,2.141433392,11,1,20,0,0,1,1,-1.441742663,-0.543567304
24,0,0,0,0,1,1,1,2,1,3,15,3,-2.352464286,-1.219255215,11,1,22,0,0,0,1,1.095950379,-0.320219642
25,0,0,0,0,0,0,0,0,0,0,5,0,2.534098081,2.945850246,12,0,0,0,0,0,1,1.218173517,0.539090261
26,0,0,0,0,1,3,0,0,1,3,12,9,-0.152210474,-0.78129149,8,1,8,1,1,0,1,0.611621399,0.874111754
27,1,2,0,0,0,0,1,2,1,5,10,12,-2.078550024,-4.141980098,9,1,100,1,1,1,2,0.532417549,1.126648525
28,0,0,0,0,0,0,0,0,0,0,10,1,0.881672794,1.229750644,13,1,2,1,1,1,1,-1.105774815,-0.990262866
29,0,0,0,0,0,0,1,5,1,5,15,6,-3.315634061,-2.095182666,7,1,52,1,2,0,1,0.77133413,0.3157426
30,0,0,0,0,0,0,1,1,1,1,11,2,1.53557156,-0.817046789,12,1,15,0,0,0,1,1.302217132,1.014974217
31,0,0,0,0,0,0,1,5,1,5,15,10,-5.312687104,-0.486348958,12,1,12,1,2,1,1,0.80858539,1.510074234
32,1,2,0,0,0,0,0,0,1,2,11,8,-1.769279015,-0.414838362,10,1,10,0,0,0,1,-0.681188513,-1.038666844
33,0,0,0,0,0,0,0,0,0,0,5,2,0.917029541,0.058880662,16,1,7,0,0,1,1,-0.174654453,-0.990262866
34,1,12,0,0,0,0,1,4,1,16,14,13,-0.496838231,-1.621463642,7,1,26,0,0,0,2,1.798338996,0.92251597
35,0,0,0,0,0,0,0,0,0,0,9,6,1.844842569,0.899052814,11,1,3,0,0,1,1,-1.849159222,-1.373688575
36,0,0,0,0,1,2,1,3,1,5,9,3,1.500214813,1.337016539,11,1,20,0,0,0,1,1.72493035,0.490686283
37,0,0,0,0,0,0,0,0,0,0,0,0,2.534098081,2.945850246,16,0,0,0,0,1,3,0.985551429,0.92251597
38,0,0,0,0,1,2,0,0,1,2,10,17,-0.010783487,1.739224966,10,1,100,0,0,1,1,-1.85020933,-2.407942162
39,0,0,0,0,1,4,1,2,1,6,9,11,-0.461481484,-1.219255215,8,1,100,1,2,1,2,-0.783912107,0.854896647
40,0,0,0,0,0,0,0,0,0,0,7,9,0.192417282,0.42533379,8,1,10,0,0,1,1,0.854067837,0.204068769
41,0,0,0,0,0,0,0,0,0,0,11,5,0.607758532,-1.219255215,12,1,1,0,0,0,1,0.392375768,1.621748065
42,1,4,0,0,0,0,0,0,1,4,11,6,-3.660261817,-3.704016373,10,1,20,1,1,0,1,0.392375768,0.631548509
43,0,0,0,0,0,0,0,0,0,0,9,0,2.189470325,2.069922796,15,0,0,0,0,1,1,-0.829481279,-0.766915204
44,0,0,0,0,1,1,1,1,1,2,17,10,-2.078550024,-0.817046789,16,1,13,1,1,1,1,-0.219135073,0.539090261
45,0,0,0,0,0,0,1,3,1,3,16,11,0.537045038,0.09463596,8,1,52,1,2,1,4,0.532417549,0.063206067
46,0,0,0,0,0,0,0,0,0,0,19,8,-4.04024632,-0.414838362,8,1,52,1,2,0,1,1.141001491,-0.878589035
47,0,0,0,0,0,0,0,0,0,0,6,2,2.189470325,-0.307572467,14,1,3,0,0,1,1,-1.46323973,-1.641090744
48,0,0,0,0,0,0,0,0,0,0,13,0,1.570928307,0.496844387,12,1,2,0,0,0,1,-1.105373722,-1.101936696
49,0,0,0,0,0,0,0,0,0,0,0,0,1.844842569,2.945850246,16,0,0,0,0,0,3,-0.124358208,1.621748065
50,0,0,0,0,0,0,0,0,0,0,9,1,1.500214813,2.945850246,10,1,15,0,0,1,1,-1.075938431,-2.296268331
51,1,5,0,0,0,0,1,2,1,7,12,8,-1.186093743,0.058880662,7,1,52,1,1,1,1,0.400468103,1.014974217
52,0,0,0,0,0,0,1,1,1,1,10,8,0.881672794,-1.621463642,12,1,35,0,0,1,1,-1.272739461,-1.325284358
53,0,0,0,0,0,0,0,0,0,0,1,1,1.22630055,0.058880662,13,0,0,0,0,1,1,-0.843873917,-1.038666844
54,0,0,0,0,0,0,0,0,0,0,11,3,1.844842569,-2.095182666,6,1,5,0,0,1,1,-0.820158776,-0.383489495
55,1,1,1,2,1,1,0,0,1,4,6,5,-1.080023502,-3.337563245,13,1,52,0,0,0,1,0.402754064,0.3157426
56,0,0,0,0,0,0,0,0,0,0,0,1,2.534098081,1.703469667,13,0,0,0,0,1,1,-0.820158776,-0.17935694
57,0,0,0,0,1,1,0,0,1,1,13,2,1.22630055,0.496844387,12,1,15,0,0,1,1,-0.750833188,-1.708710186
58,0,0,0,0,1,1,0,0,1,1,11,7,-1.044666755,-2.497391093,12,1,26,0,0,1,1,-1.243133134,-0.431893473
59,0,0,0,0,0,0,0,0,0,0,16,13,1.915556063,1.337016539,13,0,0,0,0,1,1,-0.510184981,0.427416431
60,0,0,0,0,0,0,0,0,0,0,14,1,1.880199316,1.30126124,14,1,2,0,0,0,1,-1.366066984,-0.383489495
61,0,0,0,0,0,0,1,4,1,4,11,6,-3.350990808,-7.136215578,1,0,0,0,0,0,1,0.892436046,0.92251597
62,0,0,0,0,0,0,0,0,0,0,8,1,2.189470325,-0.745536192,14,1,10,0,0,0,1,-1.792640051,-2.407942162
63,0,0,0,0,0,0,0,0,0,0,14,1,1.844842569,2.945850246,14,0,0,0,0,0,2,0.903284634,-0.451108818
64,0,0,0,0,1,2,1,2,1,4,11,9,-2.458534527,0.461089088,8,1,5,0,0,0,1,-1.352074876,1.621748065
65,0,0,0,0,0,0,0,0,0,0,8,5,-0.355411243,1.265505942,10,1,20,0,0,1,1,-0.913840389,-2.07292055
66,0,0,0,0,0,0,0,0,0,0,5,4,1.880199316,2.141433392,12,1,6,0,0,0,1,-1.554810466,-1.213610527
67,0,0,0,0,0,0,0,0,0,0,11,6,1.570928307,-2.059427367,9,1,8,0,0,1,1,-1.252869072,-1.262014744
68,0,0,0,0,0,0,0,0,0,0,12,6,2.189470325,-0.78129149,12,0,0,0,0,1,3,0.173941899,1.621748065
69,0,0,0,0,0,0,0,0,0,0,12,5,-0.116853727,-0.817046789,10,1,10,0,0,1,1,1.009422854,0.539090261
70,0,0,0,0,0,0,0,0,0,0,12,5,-0.426124737,1.265505942,12,1,25,0,0,0,1,-1.85020933,-0.718510988
71,0,0,0,0,0,0,0,0,0,0,10,0,0.881672794,0.496844387,11,0,0,0,0,0,1,-0.591717491,-1.213610527
72,0,0,0,0,0,0,0,0,0,0,8,3,2.189470325,1.631959071,13,1,2,0,0,0,1,0.402754064,-0.591971282
73,0,0,0,0,0,0,0,0,0,0,7,8,-1.080023502,0.496844387,10,1,2,0,0,0,3,0.7936388,-1.373688575
74,1,10,0,0,1,3,0,0,1,13,9,4,-2.697092042,0.461089088,8,0,0,0,0,0,1,-0.916182232,-0.227761156
75,0,0,0,0,0,0,0,0,0,0,9,2,1.844842569,-0.307572467,11,1,4,0,0,1,1,-1.601418599,-0.990262866
76,0,0,0,0,0,0,0,0,1,5,8,4,0.263130776,-0.343327765,4,1,12,0,0,1,1,0.733739621,0.92251597
77,0,0,0,0,0,0,0,0,0,0,11,0,1.844842569,2.945850246,13,0,0,0,0,0,1,-0.965814294,-0.990262866
78,1,1,0,0,1,1,1,3,1,5,15,11,-1.389294511,-0.307572467,13,1,4,1,1,0,3,0.392375768,0.903300863
79,0,0,0,0,0,0,0,0,0,0,11,0,0.607758532,0.532599685,16,0,0,0,0,1,1,1.009021238,0.427416431
80,0,0,1,17,1,15,1,10,1,32,19,18,-5.312687104,-5.420115975,1,1,100,1,3,0,1,1.548428378,1.126648525
81,0,0,0,0,0,0,0,0,0,0,7,0,2.189470325,0.899052814,15,0,0,0,0,0,1,-1.13071642,0.427416431
82,0,0,0,0,0,0,0,0,0,0,5,1,1.844842569,2.945850246,7,0,0,0,0,1,1,-0.260613549,0.92251597
83,0,0,0,0,1,5,0,0,1,5,12,13,-3.350990808,-2.899599519,8,1,50,0,0,0,1,-0.106461303,0.539090261
84,0,0,0,0,0,0,0,0,0,0,9,2,-0.355411243,-2.095182666,12,1,8,0,0,0,1,0.466732702,0.7624384
85,0,0,0,0,0,0,0,0,0,0,11,2,-1.115380249,-1.621463642,14,0,0,0,0,0,3,-0.194545769,-1.737898938
86,0,0,0,0,0,0,0,0,0,0,17,0,-1.733922268,2.105678094,11,0,0,0,0,0,1,1.445398892,1.145864109
87,0,0,0,0,0,0,0,0,0,0,13,3,-2.971006305,-0.414838362,14,0,0,1,4,0,1,1.445398892,1.145864109
88,0,0,0,0,0,0,1,1,1,1,14,6,-1.733922268,0.899052814,14,1,100,0,0,1,1,0.157327343,-1.912842622
89,0,0,0,0,0,0,0,0,0,0,7,2,1.500214813,2.945850246,12,0,0,0,0,0,2,-1.242539595,-1.373688575
90,0,0,0,0,0,0,0,0,0,0,8,11,2.189470325,1.739224966,9,0,0,0,0,0,1,0.988298439,0.539090261
91,0,0,0,0,1,3,0,0,1,3,15,1,0.192417282,0.461089088,14,1,8,1,2,0,1,0.258692037,0.3157426
92,0,0,0,0,0,0,0,0,0,0,0,0,2.534098081,2.543641819,8,0,0,0,0,0,3,0.016638328,1.621748065
93,0,0,0,0,0,0,0,0,0,0,6,0,1.570928307,0.42533379,14,1,1,0,0,1,1,-0.41492575,-0.291031009
94,0,0,0,0,0,0,0,0,0,0,10,1,0.227774029,0.461089088,14,0,0,0,0,0,1,-0.71207513,0.539090261
95,0,0,0,0,0,0,0,0,0,0,10,4,0.537045038,0.130391258,15,1,3,0,0,0,1,-0.352708384,0.427416431
96,0,0,0,0,0,0,0,0,0,0,10,8,-0.700038999,0.09463596,6,0,0,0,0,0,1,1.009422854,-1.597036236
97,0,0,0,0,0,0,0,0,0,0,4,3,-0.08149698,1.703469667,12,1,2,0,0,1,1,0.312697039,0.427416431
98,0,0,0,0,0,0,1,3,1,3,14,12,-2.043193277,-2.935354818,12,1,20,1,2,0,1,1.678924733,0.699168309
99,0,0,0,0,0,0,0,0,0,0,5,6,1.880199316,-2.059427367,7,1,26,0,0,1,1,-0.820158776,0.568278894
100,0,0,0,0,0,0,0,0,0,0,10,11,1.880199316,0.496844387,12,1,75,0,0,1,1,0.731365969,-0.067683109
101,1,7,1,20,1,5,1,25,1,37,10,3,-2.697092042,0.058880662,13,1,15,0,0,0,1,0.325757413,0.155664552
102,0,0,0,0,1,1,0,0,1,1,13,3,-2.043193277,-2.935354818,10,1,10,0,0,0,1,0.048752941,1.238322356
103,0,0,0,0,0,0,0,0,0,0,2,0,0.8109593,2.141433392,7,0,0,0,0,0,1,1.068663059,-0.320219642
104,1,15,1,10,1,54,1,15,1,99,24,9,-4.278803836,-1.585708344,9,1,60,1,2,0,2,0.325757413,1.126648525
105,0,0,0,0,0,0,0,0,0,0,6,1,2.189470325,-0.379083064,14,1,4,0,0,1,1,-1.73832614,-0.383489495
106,0,0,0,0,0,0,0,0,0,0,9,5,-3.244920567,-0.343327765,8,1,56,0,0,1,1,0.312697039,0.427416431
107,0,0,0,0,0,0,0,0,0,0,14,2,1.500214813,0.934808112,1,1,3,0,0,0,1,-0.750833188,-2.407942162
108,0,0,0,0,0,0,0,0,0,0,3,2,0.263130776,-1.255010514,5,0,0,0,0,0,1,0.192514796,-0.990262866
109,0,0,0,0,0,0,0,0,0,0,6,5,1.500214813,2.945850246,11,1,7,0,0,1,1,-0.965814294,-0.495163326
110,0,0,0,0,0,0,0,0,0,0,9,9,0.8109593,2.945850246,15,0,0,0,0,0,1,0.168605183,1.126648525
111,1,1,0,0,0,0,0,0,1,1,8,7,-1.353937764,-0.012629935,11,1,20,1,1,1,1,0.853551365,0.810842139
112,0,0,0,0,0,0,0,0,0,0,7,1,1.915556063,1.265505942,15,1,7,0,0,1,1,-0.608834542,0.3157426
113,0,0,0,0,1,1,0,0,1,1,8,3,0.192417282,0.934808112,9,1,2,0,0,0,1,0.318673783,-1.038666844
114,0,0,0,0,0,0,0,0,0,0,9,1,1.53557156,-3.337563245,11,0,0,0,0,0,1,-0.481861163,-0.019279131
115,0,0,0,0,0,0,0,0,0,0,10,1,1.500214813,-0.379083064,11,1,2,0,0,0,1,-1.507130945,-1.708710186
116,1,7,0,0,0,0,0,0,1,7,12,7,-2.078550024,-2.166693262,7,1,104,1,1,0,1,-0.352708384,0.587494478
117,0,0,0,0,0,0,0,0,0,0,8,0,2.534098081,2.945850246,16,0,0,0,0,1,3,0.349327778,1.621748065
118,1,2,0,0,0,0,0,0,1,2,13,8,-1.115380249,-1.255010514,8,1,3,0,0,1,1,1.676111474,1.621748065
119,0,0,0,0,1,3,1,1,1,5,15,5,-1.460008005,-1.219255215,8,1,15,0,0,0,1,-1.036483826,-1.373688575
120,1,1,0,0,1,4,1,6,1,13,17,6,-0.770752493,-2.899599519,7,1,6,1,1,0,1,1.695148076,0.379012453
121,1,18,1,11,1,24,1,2,1,53,12,10,-3.660261817,-2.497391093,14,1,31,1,4,0,1,-0.960767264,-1.165206549
122,0,0,0,0,1,2,0,0,1,2,10,3,-1.460008005,0.09463596,8,1,20,1,1,0,2,-1.554810466,-0.606837157
123,0,0,0,0,0,0,0,0,0,0,9,2,-1.044666755,-3.301807946,4,1,5,0,0,0,1,1.648539285,1.238322356
124,0,0,0,0,1,2,0,0,1,3,16,4,0.572401785,-1.692974239,10,1,8,1,1,0,1,-0.476221434,0.631548509
125,0,0,0,0,0,0,0,0,0,0,0,0,2.534098081,2.141433392,12,0,0,0,0,0,2,-1.432359172,-1.485362405
126,0,0,0,0,0,0,1,3,1,3,19,3,0.263130776,0.023125363,8,1,6,0,0,0,3,0.636048217,1.621748065
127,1,5,0,0,1,6,0,0,1,11,11,15,-3.660261817,-3.811282268,7,1,25,0,0,1,1,-0.68605628,-0.766915204
128,0,0,0,0,0,0,0,0,1,1,11,7,-1.080023502,0.058880662,9,1,19,0,0,1,1,-1.401656794,-1.101936696
129,0,0,0,0,0,0,0,0,0,0,16,8,0.952386288,-1.255010514,10,1,26,0,0,1,1,1.218173517,0.043990722
130,0,0,0,0,0,0,1,1,1,1,8,6,-0.046140234,-2.899599519,1,1,3,0,0,1,1,1.061499626,0.631548509
131,1,1,0,0,0,0,0,0,1,1,11,7,0.466331544,-0.012629935,8,1,52,1,1,1,2,2.001843826,1.621748065
132,0,0,0,0,0,0,0,0,0,0,8,4,1.500214813,0.496844387,11,1,1,0,0,1,1,-0.176003059,-1.373688575
